DATE,UNRATENSA,LNU01300000,LNU03008636,LNU03008275
1948-01-01,4.0,57.2,124,8.4
1948-02-01,4.7,57.7,134,8.5
1948-03-01,4.5,57.6,114,9.3
1948-04-01,4.0,58.2,110,9.4
1948-05-01,3.4,58.1,121,10.1
1948-06-01,3.9,60.3,126,8.3
1948-07-01,3.9,60.4,114,7.8
1948-08-01,3.6,60,127,8.6
1948-09-01,3.4,59.4,136,8.8
1948-10-01,2.9,59.1,127,9.3
1948-11-01,3.3,59,75,7.3
1948-12-01,3.6,58.7,85,7.9
1949-01-01,5.0,57.5,100,7.7
1949-02-01,5.8,57.7,145,8.4
1949-03-01,5.6,58.1,120,8.9
1949-04-01,5.4,58,160,9.8
1949-05-01,5.7,58.9,221,10.1
1949-06-01,6.4,59.8,261,9.3
1949-07-01,7.0,60.1,327,9.8
1949-08-01,6.3,60,329,10.7
1949-09-01,5.9,59.5,368,12
1949-10-01,6.1,59.3,349,10.9
1949-11-01,5.7,59.6,335,11
1949-12-01,6.0,58.7,361,11.5
1950-01-01,7.6,58.2,396,10.8
1950-02-01,7.9,58.2,448,11.9
1950-03-01,7.1,58.2,449,13.4
1950-04-01,6.0,58.6,475,14
1950-05-01,5.3,59,481,14.1
1950-06-01,5.6,60.5,439,12.2
1950-07-01,5.3,60,361,11.3
1950-08-01,4.1,60.4,285,11.9
1950-09-01,4.0,59.6,299,12.4
1950-10-01,3.3,59.7,257,12.2
1950-11-01,3.8,59.7,204,10.2
1950-12-01,3.9,58.9,194,10.4
1951-01-01,4.4,58,183,10.1
1951-02-01,4.2,58,213,10.9
1951-03-01,3.8,59,168,11.1
1951-04-01,3.2,58.5,145,11.8
1951-05-01,2.9,59.3,153,11
1951-06-01,3.4,59.8,116,8
1951-07-01,3.3,60.3,134,8.3
1951-08-01,2.9,60.2,112,8.8
1951-09-01,3.0,59.6,116,9.2
1951-10-01,2.8,59.9,90,8.8
1951-11-01,3.2,59.6,122,9.2
1951-12-01,2.9,59.2,92,9
1952-01-01,3.7,58.3,108,8.9
1952-02-01,3.8,58.3,94,8.9
1952-03-01,3.3,58.1,96,9.2
1952-04-01,3.0,58.2,126,10.1
1952-05-01,2.9,59.1,100,8.6
1952-06-01,3.2,60,66,6.6
1952-07-01,3.3,59.7,70,6.8
1952-08-01,3.1,59.6,58,7.4
1952-09-01,2.7,59.6,60,8
1952-10-01,2.4,59.2,78,9
1952-11-01,2.5,59.6,54,9
1952-12-01,2.5,58.9,96,8.6
1953-01-01,3.4,58.4,92,8.9
1953-02-01,3.2,58.3,86,8.5
1953-03-01,2.9,58.7,96,9.5
1953-04-01,2.8,58.5,76,8.9
1953-05-01,2.5,58.6,58,8.7
1953-06-01,2.7,59.7,88,7.4
1953-07-01,2.7,59.7,74,7.2
1953-08-01,2.4,59.5,62,7.7
1953-09-01,2.6,58.9,62,7
1953-10-01,2.5,59,58,7.2
1953-11-01,3.2,58.9,77,7.4
1953-12-01,4.2,58,105,7.8
1954-01-01,5.7,57.7,157,8.4
1954-02-01,6.3,58.4,160,9.6
1954-03-01,6.4,58.5,267,11.8
1954-04-01,6.1,58.6,307,12.4
1954-05-01,5.7,58.9,375,12.8
1954-06-01,5.7,59.3,293,10.9
1954-07-01,5.7,59.3,339,11.4
1954-08-01,5.4,59.3,400,12.5
1954-09-01,5.3,59.3,383,12.6
1954-10-01,4.6,59,391,13.2
1954-11-01,4.9,58.8,352,12.3
1954-12-01,4.8,57.9,376,13.3
1955-01-01,5.8,57.8,459,12.9
1955-02-01,5.7,57.7,450,14.3
1955-03-01,5.2,57.8,447,15
1955-04-01,4.9,58.5,447,16.2
1955-05-01,4.2,58.9,409,15.8
1955-06-01,4.4,59.7,311,11.9
1955-07-01,4.0,60.3,306,12.7
1955-08-01,3.8,60.4,265,12.1
1955-09-01,3.5,60,216,11.4
1955-10-01,3.4,60.3,213,11.5
1955-11-01,3.8,60.2,228,10.5
1955-12-01,3.9,59.7,275,11.9
1956-01-01,4.7,59,270,11.2
1956-02-01,4.8,58.7,283,12.6
1956-03-01,4.7,59,281,12.9
1956-04-01,4.1,59.4,231,12.4
1956-05-01,4.2,60.3,222,11.3
1956-06-01,4.7,61.2,175,9
1956-07-01,4.4,61.2,213,9.7
1956-08-01,3.7,60.8,233,11.9
1956-09-01,3.4,60.3,209,11.6
1956-10-01,3.1,60.3,211,11.5
1956-11-01,3.9,60,204,10.1
1956-12-01,4.0,59.4,247,11.3
1957-01-01,4.9,58.4,188,9.9
1957-02-01,4.7,58.7,227,10.7
1957-03-01,4.3,59,253,12
1957-04-01,4.0,59.1,267,12
1957-05-01,3.9,59.7,260,11.2
1957-06-01,4.6,60.9,247,8.9
1957-07-01,4.1,61,260,9.4
1957-08-01,3.7,60.1,232,10.4
1957-09-01,3.7,59.7,193,9.7
1957-10-01,3.6,60,255,11.2
1957-11-01,4.6,59.6,243,9.7
1957-12-01,5.0,59.2,246,10.3
1958-01-01,6.8,58.3,309,10
1958-02-01,7.7,58.6,353,10.9
1958-03-01,7.7,58.9,401,12.3
1958-04-01,7.5,59.2,585,13.8
1958-05-01,7.1,59.8,605,14.1
1958-06-01,7.6,60.6,689,12.6
1958-07-01,7.4,60.6,872,13.7
1958-08-01,6.7,60.3,971,15.8
1958-09-01,6.0,59.5,888,16.4
1958-10-01,5.5,59.8,811,16.6
1958-11-01,5.6,59.2,735,15.4
1958-12-01,6.0,58.8,782,15.6
1959-01-01,7.0,58.2,818,15.4
1959-02-01,7.0,58.2,737,15.4
1959-03-01,6.4,58.7,777,16.8
1959-04-01,5.2,59,723,16.8
1959-05-01,4.9,59.4,605,15.8
1959-06-01,5.4,60.5,540,13
1959-07-01,5.2,60.5,515,13.4
1959-08-01,4.8,59.9,493,13.8
1959-09-01,4.7,59.3,396,13.7
1959-10-01,4.7,59.7,393,13.1
1959-11-01,5.3,59.1,428,12.4
1959-12-01,5.1,59,430,12.9
1960-01-01,6.1,57.9,469,12.7
1960-02-01,5.7,58.1,431,13.1
1960-03-01,6.1,58,502,14.2
1960-04-01,5.2,59.1,499,14.3
1960-05-01,4.8,59.6,411,12.8
1960-06-01,5.8,61,396,10.3
1960-07-01,5.5,60.6,416,11.8
1960-08-01,5.2,60.2,414,12.3
1960-09-01,4.7,59.7,417,12.9
1960-10-01,5.0,59.6,500,13.8
1960-11-01,5.6,59.7,499,13.2
1960-12-01,6.4,59.1,499,12.2
1961-01-01,7.7,58.5,643,13
1961-02-01,8.1,58.8,674,13.6
1961-03-01,7.7,59.2,799,15.4
1961-04-01,7.0,58.9,923,17.5
1961-05-01,6.6,59.4,907,16.9
1961-06-01,7.3,61,928,13.9
1961-07-01,6.9,60.5,1026,16.1
1961-08-01,6.2,60.1,913,17.1
1961-09-01,5.8,58.8,760,16.1
1961-10-01,5.5,59.3,723,16.2
1961-11-01,5.6,59,689,16.1
1961-12-01,5.8,58.4,661,15.6
1962-01-01,6.7,57.7,672,14.5
